상세영업상태명,소재지전화,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,업태구분명,좌표정보(x),좌표정보(y),의자수,세탁기수,회수건조수,lat,lng
영업,,120822,"서울특별시 서대문구 북아현동 220-1번지 101호,102호","서울특별시 서대문구 신촌로29길 26 (북아현동, 101호,102호)",3774,크린토피아,빨래방업,195784.6746,450601.9742,0.0,3.0,0.0,126.9530808863,37.5576826869207
영업,02  3368283,120827,서울특별시 서대문구 연희동 77-5 지층 좌측 일부,"서울특별시 서대문구 연희로 193, 지층 (연희동, 좌측일부)",3697,마마 운동화이불빨래방,빨래방업,194209.9649,452440.322,,3.0,,126.93524416647,37.5742366283345
영업,,133020,서울특별시 성동구 하왕십리동 1066번지,"서울특별시 성동구 무학로 33, 152동 B108호 (하왕십리동, 왕십리뉴타운제1구역 텐즈힐아파트상가)",4702,크린토피아 코인워시 왕십리 텐즈힐점,빨래방업,202401.066,451809.191,0.0,2.0,2.0,127.028040516397,37.5684498209013
영업,02  22821552,133839,"서울특별시 성동구 옥수동 250-7번지 삼성상가126,127호","서울특별시 성동구 한림말길 31 (옥수동,삼성상가126,127호)",4735,삼성호텔식빨래방,빨래방업,201222.0743,448765.9778,0.0,0.0,1.0,127.014629719985,37.5411064224501
영업,02 3568284,122891,서울특별시 은평구 신사동 342-47번지 지상1층,"서울특별시 은평구 증산로15길 30-1, 지상1층 (신사동)",3448,화이트세탁,빨래방업,191996.3111,454190.118,0.0,1.0,0.0,126.910166111417,37.5899850680597
영업,02 4653081,133833,서울특별시 성동구 성수동2가 299-198번지 외(299-199) 지상1층,"서울특별시 성동구 성수일로12길 27 (성수동2가,외(299-199) 지상1층)",4792,백조사,빨래방업,204738.6978,449551.6143,0.0,0.0,0.0,127.054431354942,37.5482219578103
영업,02 3249536,120835,서울특별시 서대문구 창천동 91-6번지 1층,"서울특별시 서대문구 성산로22길 4, 1층 (창천동)",3727,화이트운동화 앤 빨래방,빨래방업,194039.1288,450901.2477,0.0,3.0,0.0,126.933322929848,37.5603684245226
영업,,133855,서울특별시 성동구 상왕십리동 816-1번지,"서울특별시 성동구 왕십리로 410, J동 1층 141호 (하왕십리동, 센트라스)",4701,크린토피아 코인워시 왕십리 센트라스점,빨래방업,202310.0242,451594.7072,0.0,3.0,0.0,127.024600731637,37.5654680211827
영업,,138857,서울특별시 송파구 오금동 72-6번지,"서울특별시 송파구 마천로 144, 지상1층 (오금동)",5728,크린토피아(송파오금공원점)코인워시,빨래방업,211892.9311,444689.5345,0.0,3.0,4.0,127.135292173164,37.5043460713867
영업,,138813,서울특별시 송파구 거여동 136-106번지,"서울특별시 송파구 거마로9길 7, 지하층 (거여동)",5735,빨래방,빨래방업,212727.7839,443777.6975,0.0,4.0,4.0,127.144718691451,37.4961214244771
영업,02  576 0907,137898,서울특별시 서초구 양재동 368-11 1층,"서울특별시 서초구 동산로6길 41-3, 1층 (양재동)",6786,크린토피아 코인워시 양재2동,빨래방업,203893.6106,440822.3434,0.0,6.0,0.0,127.044803311537,37.4695696453267
영업,02  303 5882,122891,서울특별시 은평구 신사동 339-13번지,서울특별시 은평구 증산로15길 8 (신사동),3448,크린프랜드,빨래방업,192171.215,454076.4911,0.0,2.0,0.0,126.91214774189,37.5889628523017
영업,,136052,서울특별시 성북구 동선동2가 185번지 1층,"서울특별시 성북구 보문로30나길 2, 1층 (동선동2가)",2844,크린토피아 코인워시 성신여대점,빨래방업,201725.7269,454124.7308,0.0,3.0,3.0,127.020327247354,37.5894306866706
영업,02 8558940,151015,서울특별시 관악구 신림동 1735-3번지 관악산휴먼시아,"서울특별시 관악구 난곡로 53, 관악산휴먼시아 상가동 3층 301호 (신림동)",8862,휴먼시아 빨래방,빨래방업,192795.435,439787.7156,0.0,2.0,0.0,126.919356595975,37.4602269566467
영업,070 76916012,138842,서울특별시 송파구 석촌동 56-16번지 지상1층 102호,"서울특별시 송파구 석촌호수로18길 18, 지상1층 102호 (석촌동)",5611,버블존,빨래방업,208884.9486,444797.7574,0.0,4.0,4.0,127.10127467736,37.5053548409019
영업,02  523 3636,137865,서울특별시 서초구 서초동 1442-1 1층,"서울특별시 서초구 서초중앙로2길 84, 1층 (서초동)",6725,크린토피아,빨래방업,201803.9342,442576.9349,0.0,4.0,0.0,127.021185474017,37.4853857139262
영업,222630122,100260,서울특별시 중구 남학동 17-2번지,서울특별시 중구 퇴계로28길 14 (남학동),4627,충무세탁소,빨래방업,199152.4124,450909.9894,0.0,0.0,0.0,126.991195201066,37.5604672926901
영업,02  23838294,100819,서울특별시 중구 신당동 156-1번지,"서울특별시 중구 퇴계로88가길 14, 1층 (신당동)",4583,화이트빨래방,빨래방업,201780.9567,451225.0873,0.0,3.0,0.0,127.020945834873,37.5633051638629
영업,02  765 4890,110843,서울특별시 종로구 창신동 640-245번지,"서울특별시 종로구 창신4가길 38, 지1층 (창신동)",3097,은지네 빨래방,빨래방업,200779.5453,452514.3517,0.0,3.0,0.0,127.009614994876,37.5749202828107
영업,02  67301131,110340,서울특별시 종로구 익선동 34-8번지,서울특별시 종로구 삼일대로30길 31 (익선동),3132,호텔 이비스앰배서더 인사동,빨래방업,198977.911,452460.663,0.0,2.0,0.0,126.989219311582,37.5744408529329
영업,02  363 8285,100371,서울특별시 중구 만리동1가 231번지 상가동 107호,"서울특별시 중구 만리재로33길 21 (만리동1가, 상가동 107호)",4501,빨래방(서부역점),빨래방업,197010.4269,450402.8024,0.0,4.0,0.0,126.967001745344,37.5558684646262
영업,,100890,서울특별시 중구 신당동 304-339번지 1층,"서울특별시 중구 다산로33라길 5 (신당동, 1층)",4612,양지위생,빨래방업,201090.5674,451225.5311,0.0,1.0,6.0,127.013131413228,37.5633093550032
영업,263618031,100021,서울특별시 중구 명동1가 59-5번지,서울특별시 중구 남대문로 78 (명동1가),4534,(주)앰배스텔이비스앰배서더명동,빨래방업,198433.9032,451323.2163,0.0,0.0,0.0,126.983062193942,37.5641894140338
영업,,110843,서울특별시 종로구 창신동 647-16번지 1층,"서울특별시 종로구 창신길 47, 1층 (창신동)",3097,코인워시24셀프빨래방,빨래방업,200854.0361,452385.1863,0.0,3.0,0.0,127.010455476521,37.5737579281347
영업,,151050,서울특별시 관악구 봉천동 1703 성현동아아파트,"서울특별시 관악구 관악로 287, 성현동아아파트 상가A동 101,102호 (봉천동)",8726,한빛세탁소,빨래방업,195999.5749,443044.701,0.0,2.0,0.0,126.955554597324,37.4895920965132
영업,02  363 8432,121010,서울특별시 마포구 아현동 733번지 효성인텔리안 1층 106호,"서울특별시 마포구 마포대로 208, 효성인텔리안 1층 106호 (아현동)",4206,크린토피아 애오개역점,빨래방업,196116.3595,450027.0689,0.0,3.0,3.0,126.956837945207,37.5525042847461
영업,,121810,"서울특별시 마포구 대흥동 330-2번지 드림빌딩 1층 105,106,107호","서울특별시 마포구 독막로38길 22, 드림빌딩 1층 105,106,107호 (대흥동)",4150,크린토피아 대흥역점,빨래방업,194711.5503,449256.966,0.0,4.0,5.0,126.940947268314,37.5455596281185
영업,226999485,157846,서울특별시 강서구 방화동 249-202번지,"서울특별시 강서구 초원로14길 28-4, 1층 (방화동)",7616,방화동 세탁소,빨래방업,183431.9924,451695.9547,0.0,1.0,0.0,126.813253795829,37.5673982407573
영업,02  322 8321,121820,서울특별시 마포구 망원동 400-9번지 (1층),"서울특별시 마포구 포은로 82 (망원동,(1층))",4014,세탁편의점,빨래방업,191587.8665,450236.7238,0.0,5.0,0.0,126.90558718479,37.5543619275029
영업,,152836,"서울특별시 구로구 고척동 277-42번지 (고척동,고척스카이동구장내)","서울특별시 구로구 경인로 431, 지하1층 (고척동, (고척동,고척스카이동구장내))",8223,더 프로크린,빨래방업,188153.8942,444168.9425,0.0,2.0,2.0,126.86682336647,37.4996545086724
영업,02  34120085,135945,서울특별시 강남구 일원동 660-6,"서울특별시 강남구 양재대로43길 6, 지하1층 (일원동)",6342,강남워싱빨래방,빨래방업,207384.3463,443415.4191,0.0,3.0,3.0,127.085390179199,37.4906166588679
영업,,138845,서울특별시 송파구 석촌동 219-6번지,"서울특별시 송파구 백제고분로34길 34, 1층 (석촌동)",5692,더런드리 셀프빨래방 석촌고분점,빨래방업,208654.6723,444141.2857,0.0,4.0,4.0,127.098662597201,37.4994422212455
영업,,130836,서울특별시 동대문구 장안동 121-22번지,서울특별시 동대문구 답십리로63길 86 (장안동),2525,월풀빨래방,빨래방업,206044.9948,452678.8488,,,0.0,127.06921966952,37.5763847690859
영업,02  902 9284,132873,서울특별시 도봉구 쌍문동 137-65번지 지상1층,"서울특별시 도봉구 노해로 223, 지상1층 (쌍문동)",1439,운동화손세탁이불,빨래방업,202831.2746,460988.7862,0.0,0.0,0.0,127.032870444195,37.6512709333309
영업,,132838,서울특별시 도봉구 방학동 602-19번지 지하1층,"서울특별시 도봉구 시루봉로 227, 지하1층 (방학동)",1314,유한회사 깔끄미세탁방,빨래방업,203020.1742,462923.3201,0.0,0.0,0.0,127.035004814407,37.668679896735
영업,02 9674392,130872,서울특별시 동대문구 회기동 3-235번지,서울특별시 동대문구 회기로23가길 34 (회기동),2453,원풀빨래방,빨래방업,204729.0583,454496.2094,,,,127.054334246653,37.5927664863117
영업,9872594,132872,서울특별시 도봉구 쌍문동 217번지 대성빌딩 지하1층,"서울특별시 도봉구 해등로26길 25, 대성빌딩 지하1층 (쌍문동)",1387,신화세탁,빨래방업,202809.8749,461869.585,0.0,2.0,,127.0326311884,37.6592067620546
영업,02  34940962,132821,서울특별시 도봉구 도봉동 622-76번지 지상1층,"서울특별시 도봉구 도봉로152가길 20-4, 지상1층 (도봉동)",1329,(주)은빛작업장,빨래방업,203850.2387,463117.5391,0.0,0.0,0.0,127.044428130418,37.6704467892372
영업,,139816,서울특별시 노원구 상계동 178-19,"서울특별시 노원구 상계로12길 42 (상계동, 178-19)",1703,크린업,빨래방업,206065.0803,461537.3316,0.0,3.0,0.0,127.069519667894,37.6561978183529
영업,,157210,서울특별시 강서구 마곡동 773-1번지 마곡역센트럴푸르지오시티 118호,"서울특별시 강서구 마곡중앙6로 10, 118호 (마곡동, 마곡역센트럴푸르지오시티)",7801,크린토피아 코인워시 마곡역점,빨래방업,184756.0,450942.0,0.0,3.0,0.0,126.828193803597,37.5603986603055
영업,02  997 1121,132896,서울특별시 도봉구 쌍문동 716-24번지 지상1,"서울특별시 도봉구 도봉로135길 18, 지상1층 (쌍문동)",1392,운동화구두이불빨래방,빨래방업,203420.9946,461836.4559,0.0,3.0,0.0,127.039556893005,37.6589062377598
영업,02 9241225,130861,서울특별시 동대문구 제기동 235-1번지,"서울특별시 동대문구 약령시로5길 12, 1층 (제기동)",2476,웰빙빨래방,빨래방업,202937.1873,453448.2646,0.0,4.0,3.0,127.034041200965,37.5833328521023
영업,02  976 5396,139240,서울특별시 노원구 공릉동 566-6번지 지상1층,"서울특별시 노원구 동일로180길 11-8 (공릉동, 지상1층)",1845,크리니아,빨래방업,206558.6882,457810.9704,0.0,4.0,0.0,127.075080326106,37.6226207509075
영업,226623755,157708,서울특별시 강서구 화곡동 1139 초록아파트 104일부호,"서울특별시 강서구 강서로45다길 30-27, 1층 104 일부호 (화곡동, 초록아파트)",7704,동천교역상사,빨래방업,182217.2421,448971.6998,0.0,0.0,0.0,126.833623087174,37.545684414842
영업,02  447 1919,143887,서울특별시 광진구 중곡동 77-33,서울특별시 광진구 긴고랑로 130 (중곡동),4945,빨래방,빨래방업,207827.0617,450729.3558,0.0,4.0,0.0,127.089372703733,37.558806775087
영업,,132839,서울특별시 도봉구 방학동 615-8번지 지상1층,"서울특별시 도봉구 시루봉로15길 21, 지상1층 (방학동)",1315,크린크린 빨래방,빨래방업,202791.3308,462849.8874,0.0,1.0,,127.032419683417,37.6679982331052
영업,02 4571756,143817,서울특별시 광진구 구의동 31-23 (욱현빌딩 103호),"서울특별시 광진구 자양로 312 (구의동,(욱현빌딩 103호))",4956,아차산으뜸크리닝,빨래방업,208185.2548,450096.8845,,,,127.09341963623,37.5531051951361
영업,02 7043880,121870,서울특별시 마포구 염리동 9-100번지,서울특별시 마포구 숭문16길 15 (염리동),4113,월풀,빨래방업,195283.1918,450404.6786,,,,126.947406664033,37.5559025378778
영업,,132817,서울특별시 도봉구 도봉동 594-27번지,서울특별시 도봉구 도봉로169나길 18-4 (도봉동),1306,하나사,빨래방업,203756.436,464055.5207,0.0,2.0,0.0,127.043369620505,37.6788981891141
영업,02 9951410,132884,서울특별시 도봉구 쌍문동 389-21번지,서울특별시 도봉구 우이천로 325 (쌍문동),1451,문화기업,빨래방업,202309.333,460403.678,,2.0,,127.026954101096,37.6460006897543
영업,02 9968284,132919,서울특별시 도봉구 창동 603-2번지 지상1층,"서울특별시 도봉구 덕릉로63길 3, 지상1층 (창동)",1464,슈즈플러스,빨래방업,203491.268,459912.4275,,,,127.040344225645,37.6415709665521
영업,204570924,143848,서울특별시 광진구 능동 238-10번지,서울특별시 광진구 천호대로116길 22 (능동),4986,조양세탁소,빨래방업,207328.7598,450228.2661,0.0,3.0,3.0,127.083728317154,37.5542969166089
영업,02  364 1272,121859,서울특별시 마포구 아현동 326-24번지,"서울특별시 마포구 신촌로34길 29, 1층 (아현동)",4116,크린토피아코인워시(마포아현초교점),빨래방업,195936.2271,450407.0951,0.0,0.0,0.0,126.954797253073,37.5559274928368
영업,28245983,156804,서울특별시 동작구 노량진동 257-2,"서울특별시 동작구 노량진로8길 46, 1층 (노량진동)",6929,유경빨래방,빨래방업,194404.4561,445602.1324,0.0,2.0,0.0,126.937823842679,37.5123361150534
영업,02  821 7708,156807,서울특별시 동작구 대방동 5-1번지 (4층),"서울특별시 동작구 등용로 47 (대방동,(4층))",6948,서울동작지역자활센터,빨래방업,194040.7339,444835.7965,,,,126.933390111662,37.5057197837265
영업,,121896,서울특별시 마포구 서교동 469-28번지 천일빌딩1층,"서울특별시 마포구 월드컵로14길 61 (서교동, 천일빌딩1층)",3997,크린토피아마포서교점,빨래방업,192304.7389,450519.8756,0.0,1.0,0.0,126.913697399165,37.5569202089672
영업,,121836,서울특별시 마포구 서교동 332-3번지 1층,서울특별시 마포구 와우산로29길 63 (서교동),4053,클린업,빨래방업,193446.2277,450410.0788,0.0,5.0,0.0,126.92661712413,37.5559398307995
영업,02  362 4563,121861,서울특별시 마포구 아현동 751-3번지,서울 마포구 환일길 60 (아현동),4203,코인워시24 만리동점,빨래방업,126.961303685622,37.552976063588,,,,126.961285467694,37.5529714625264
영업,,121838,서울특별시 마포구 서교동 355-12번지,서울특별시 마포구 양화로16길 21 (서교동),4039,홍대빨래방,빨래방업,192930.4767,450105.2139,,,,126.92078319589,37.5531891895758
영업,02  333 1163,121827,서울특별시 마포구 망원동 517번지 마포영화블렌하임,"서울특별시 마포구 월드컵로25길 26, 상가 101동 1층 36호  35-2호 (망원동, 마포영화블렌하임)",3964,크린토피아 코인워시 성산시장점,빨래방업,191651.5293,450694.8035,0.0,8.0,0.0,126.90630246749,37.558489695079
영업,,121869,서울특별시 마포구 연남동 562-23번지 1층 101호,"서울특별시 마포구 연남로5길 43, 1층 101호 (연남동)",3987,워시엔조이 셀프빨래방 마포연남점,빨래방업,192853.4125,450979.0873,0.0,7.0,0.0,126.919902455572,37.5610621392829
영업,02  64042889,121830,서울특별시 마포구 상암동 41-16번지 1층,"서울특별시 마포구 월드컵북로 350, 1층 (상암동)",3927,크린토피아 코인워시 상암DMC점,빨래방업,190507.4394,452732.6343,0.0,7.0,0.0,126.893327730062,37.5768399802483
영업,,140901,서울특별시 용산구 후암동 244-79 남산리치빌,"서울특별시 용산구 후암로28길 38, 1층 (후암동)",4331,영미세탁,빨래방업,198101.4452,449672.9092,0.0,0.0,0.0,126.979303645365,37.5493197445005
영업,02  64483536,142876,서울특별시 강북구 수유동 169-5번지,"서울특별시 강북구 도봉로97길 26, 1층 (수유동)",1055,크린토피아코인워시수유역점,빨래방업,202417.0198,459999.3434,0.0,3.0,0.0,127.028172967023,37.6423574562229
영업,,142872,서울특별시 강북구 수유동 30-64번지,서울특별시 강북구 노해로11길 6 (수유동),1077,희망빨래방,빨래방업,201889.8882,459637.9535,0.0,7.0,0.0,127.022199461468,37.6391026632909
영업,02  982 3989,142070,서울특별시 강북구 수유동 605-646번지,"서울특별시 강북구 삼양로77길 20, 1층 (수유동)",1102,크린토피아수유1동주민센터점,빨래방업,201429.0086,458626.7628,0.0,3.0,0.0,127.016975839062,37.6299928549497
영업,02 9831289,142884,서울특별시 강북구 수유동 392-32번지,서울특별시 강북구 삼양로100길 20 (수유동),1075,형제워싱,빨래방업,201455.7111,459688.2859,0.0,0.0,0.0,127.017280414856,37.639556861858
영업,,142875,서울특별시 강북구 수유동 486-1270번지,"서울특별시 강북구 인수봉로19길 25, 지하1층 (수유동)",1096,깨끗한 나라,빨래방업,200992.4417,458220.8702,0.0,1.0,0.0,127.012019541543,37.626339963625
영업,02  719 1991,121876,서울특별시 마포구 용강동 122-16번지 1층,"서울특별시 마포구 토정로32길 4, 1층 (용강동)",4163,크린토피아 홈플러스(EX) 마포 용강점,빨래방업,194742.3839,448757.8834,0.0,3.0,0.0,126.941298077895,37.5410621042353
영업,02  886 8585,151818,서울특별시 관악구 봉천동 1629-6번지,"서울특별시 관악구 낙성대역길 20, 지하1층 (봉천동)",8792,옥색신,빨래방업,196955.0014,441135.1518,0.0,2.0,0.0,126.961665149897,37.4766826931881
영업,02  425 1966,138841,서울특별시 송파구 삼전동 165-18번지 지상1층,"서울특별시 송파구 백제고분로32길 20, 지상1층 (삼전동)",5589,크린토피아 삼전 배명점,빨래방업,208315.4887,444286.853,0.0,3.0,0.0,127.094828515896,37.5007568652005
영업,02  354 8482,122200,서울특별시 은평구 진관동 22번지 은평뉴타운 구파발 911동 102호,"서울특별시 은평구 진관3로 67, 911동 102호 (진관동, 은평뉴타운 구파발)",3301,마마운동화 이불빨래방,빨래방업,193055.0403,459903.9723,0.0,1.0,0.0,126.920932686788,37.6427644551257
